SMILES,Ingre_ID,Canonical_SMILES
Oc1cc2[OH+][C-](c3ccccc3)C(=Cc2c(c1)O)O,1,Oc1cc2[OH+][C-](c3ccccc3)C(=Cc2c(c1)O)O
OC1=C[C-]2[OH+]C(=C(C=C2C(=C1)O)O)c1ccc(c(c1)O)O,2,OC1=C[C-]2[OH+]C(=C(C=C2C(=C1)O)O)c1ccc(c(c1)O)O
OCC(C(C(C(CO)O)O)O)O,3,OCC(C(C(C(CO)O)O)O)O
Oc1cc(O)c2c(c1)OC(C(C2c1c(O)cc(c2c1OC(C(C2)O)c1ccc(c(c1)O)O)O)O)c1ccc(c(c1)O)O,4,Oc1cc(O)c2c(c1)OC(C(C2c1c(O)cc(c2c1OC(C(C2)O)c1ccc(c(c1)O)O)O)O)c1ccc(c(c1)O)O
COc1c(O)cc(cc1O)C1Oc2c(CC1O)c(O)cc(c2C1C(O)C(Oc2c1c(O)cc(c2)O)c1ccc(cc1)O)O,5,COc1c(O)cc(cc1O)C1Oc2c(CC1O)c(O)cc(c2C1C(O)C(Oc2c1c(O)cc(c2)O)c1ccc(cc1)O)O
Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,6,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O
OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)O,7,OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)O
Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,8,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O
OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O)O)C(C(C1O)O)O,9,OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O)O)C(C(C1O)O)O
OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,10,OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O
OCC1Oc2c(OC1c1ccc(c(c1)OC)O)c(OC)cc1c2oc(=O)cc1,11,OCC1Oc2c(OC1c1ccc(c(c1)OC)O)c(OC)cc1c2oc(=O)cc1
CCCCCCCCCCCCCCCCCCCC(=O)O,12,CCCCCCCCCCCCCCCCCCCC(=O)O
